55. ID: 3356 | So nha: 225.1c | Ma KN:  | SysID: SYS-20265627-867 | Title:  | ND: 225.1c bùi thị xuân 47 2 7 7 8.8 tỷ Tân Sơn Hòa Tân Bình 5-10 tỷ HĐ Nguyễn Văn S
56. ID: 3466 | So nha: 109 | Ma KN:  | SysID: SYS-20264527-878 | Title:  | ND: 109 phạm văn hai 84.8 5 4.5 18 24.5 tỷ Tân Sơn Hòa Tân Bình 15-25 tỷ HĐ Từ Ngọc 
57. ID: 3480 | So nha: 95.4 | Ma KN:  | SysID: SYS-20264327-379 | Title:  | ND: 95.4 Phạm Văn Hai 25 3 6.3 4 4.3 tỷ Tân Sơn Hòa Tân Bình < 5 tỷ HĐ Bùi Quang Min
58. ID: 3502 | So nha: 107.19.53(cũ 37.9bis) | Ma KN:  | SysID: SYS-20264127-519 | Title:  | ND: 107.19.53(cũ 37.9bis) Phạm Văn Hai 20 2 3 7 3.3 tỷ Tân Sơn Hòa Tân Bình < 5 tỷ H
59. ID: 3513 | So nha: 1 phần tầng 3 số 91D-E | Ma KN:  | SysID: SYS-20264027-326 | Title:  | ND: 1 phần tầng 3 số 91D-E Phạm Văn Hai 36.2 3 5 8 3.6 tỷ Tân Sơn Hòa Tân Bình < 5 t
60. ID: 3625 | So nha: 71.2.107.9 | Ma KN:  | SysID: SYS-20262927-657 | Title:  | ND: 71.2.107.9 Nguyễn Bặc 47 2 3.8 13 8.3 tỷ Tân Sơn Hòa Tân Bình 5-10 tỷ HĐ Nguyễn 
61. ID: 3626 | So nha: 71.2.107.11 | Ma KN:  | SysID: SYS-20262927-365 | Title:  | ND: 71.2.107.11 Nguyễn Bặc 50 2 4 13 8.6 tỷ Tân Sơn Hòa Tân Bình 5-10 tỷ HĐ Nguyễn H
62. ID: 3629 | So nha: 154.30.37 | Ma KN:  | SysID: SYS-20262827-420 | Title:  | ND: 154.30.37 Phạm Văn Hai 42 2 4.6 9 6.45 tỷ Tân Sơn Hòa Tân Bình 5-10 tỷ HĐ Bùi Đứ
63. ID: 3650 | So nha: 154.64 | Ma KN:  | SysID: SYS-20262627-485 | Title:  | ND: 154.64 Phạm Văn Hai 52 5 5.5 11 9.5 tỷ Tân Sơn Hòa Tân Bình 5-10 tỷ HĐ Hoàng Viế
64. ID: 3734 | So nha: 128.37A | Ma KN:  | SysID: SYS-20261827-733 | Title:  | ND: 128.37A Phạm Văn Hai 299 7 20 15 58.5 tỷ Tân Sơn Hòa Tân Bình 50-100 tỷ HĐ Hồ Xu
65. ID: 3846 | So nha: 343.11.2 | Ma KN:  | SysID: SYS-20262227-148 | Title:  | ND: 343.11.2 Nguyễn Trọng Tuyển 71/88 3 6.6 14 11.6 tỷ Tân Sơn Hòa Tân Bình 10-15 tỷ
66. ID: 3978 | So nha: 156.11 | Ma KN:  | SysID: SYS-20265227-879 | Title:  | ND: 156.11 bùi thị xuân 35 3 3.5 10 6.1 tỷ Tân Sơn Hòa Tân Bình 5-10 tỷ HĐ Nguyễn Vă
67. ID: 4012 | So nha: 359.1.39 | Ma KN:  | SysID: SYS-20264527-180 | Title:  | ND: 359.1.39 Lê Văn Sỹ 136 2 4.7 30 36 tỷ Nhiêu Lộc Quận 3 25-50 tỷ HĐ Tô Thăng Long
68. ID: 4013 | So nha: 766.95.21 | Ma KN:  | SysID: SYS-20264427-990 | Title:  | ND: 766.95.21 cách mạng tháng tám 45 4 3 15 7.85 tỷ Tân Sơn Nhất Tân Bình 5-10 tỷ HĐ
69. ID: 4063 | So nha: 71.15.20.21 | Ma KN:  | SysID: SYS-20263427-464 | Title:  | ND: 71.15.20.21 Nguyễn Bặc(số cũ: 405.15.8A Phạm Văn Hai) 26.5/27 2 3.2 8 3 tỷ Tân S
70. ID: 4128 | So nha: Căn Hộ 240 | Ma KN:  | SysID: SYS-20265127-522 | Title:  | ND: Căn Hộ 240 Lê Văn Sỹ 17.8/46 2 3 6 2 tỷ Tân Sơn Hòa Tân Bình < 5 tỷ HĐ Ngô Quang
71. ID: 4247 | So nha: 71.2.3 | Ma KN:  | SysID: SYS-20262327-560 | Title:  | ND: 71.2.3 Nguyễn Bặc 52 6 3.5 14 15.5 tỷ Tân Sơn Hòa Tân Bình 15-25 tỷ HĐ Nguyễn Tu
72. ID: 4295 | So nha: 42.5 | Ma KN:  | SysID: SYS-20261227-995 | Title:  | ND: 42.5 Bùi Thị Xuân 40 4 3.8 11 7.9 tỷ Tân Sơn Hòa Tân Bình 5-10 tỷ HĐ Hoàng Viết 
73. ID: 4330 | So nha: 107.16 | Ma KN:  | SysID: SYS-20260227-677 | Title:  | ND: 107.16 Phạm Văn Hai 133 3 5 23 20.6 tỷ Tân Sơn Hòa Tân Bình 15-25 tỷ HĐ Võ Đình 
74. ID: 4350 | So nha: 154.59.4 | Ma KN:  | SysID: SYS-20265727-966 | Title:  | ND: 154.59.4 Phạm Văn Hai 57 2 3.1 18 7.3 tỷ Tân Sơn Hòa Tân Bình 5-10 tỷ HĐ Lê Thị 
75. ID: 4359 | So nha: 33 | Ma KN:  | SysID: SYS-20265527-973 | Title:  | ND: 33 Lưu Nhân Chú 79 4 5.3 15 21.9 tỷ Tân Sơn Nhất Tân Bình 15-25 tỷ HĐ Phan Xuân 
76. ID: 4365 | So nha: 43 | Ma KN:  | SysID: SYS-20265427-909 | Title:  | ND: 43 Phạm Văn Hai 62.3/70 4 3.1 20 17.9 tỷ Tân Sơn Hòa Tân Bình 15-25 tỷ HĐ Nguyễn
77. ID: 4369 | So nha: 39 | Ma KN:  | SysID: SYS-20260603-276 | Title:  | ND: 39 Lưu Nhân Chú 72/85 2 3.2 25 15 tỷ Tân Sơn Nhất Tân Bình 15-25 tỷ HĐ Cao Văn H
78. ID: 4444 | So nha: 337.2.9 | Ma KN:  | SysID: SYS-20263527-540 | Title:  | ND: 337.2.9 Lê Văn Sỹ 121/98 2 4.5 27 36 tỷ Tân Sơn Hòa Tân Bình 25-50 tỷ HĐ Trần Ho
79. ID: 4449 | So nha: 207.43.1 | Ma KN:  | SysID: SYS-20260603-299 | Title:  | ND: 207.43.1 Phạm Văn Hai 110.5 1 17 9 11.9 tỷ Tân Sơn Nhất Tân Bình 10-15 tỷ HĐ Phạ
80. ID: 4516 | So nha: 184.56 | Ma KN:  | SysID: SYS-20264227-360 | Title:  | ND: 184.56 Phạm Văn Hai 38 4 3.5 11 8.35 tỷ Tân Sơn Hòa Tân Bình 5-10 tỷ HĐ Phạm Tha
81. ID: 4540 | So nha: 207.43.2B | Ma KN:  | SysID: SYS-20263427-357 | Title:  | ND: 207.43.2B Phạm Văn Hai 35.4/36.3 3 3 12 6.05 tỷ Tân Sơn Nhất Tân Bình 5-10 tỷ HĐ
82. ID: 4608 | So nha: 202.61A | Ma KN:  | SysID: SYS-20261627-107 | Title:  | ND: 202.61A Phạm Văn Hai 61 1 4.3 14 6.5 tỷ Tân Sơn Nhất Tân Bình 5-10 tỷ HĐ Nguyễn 
83. ID: 4796 | So nha: 224.3 | Ma KN:  | SysID: SYS-20261127-253 | Title:  | ND: 224.3 Phạm Văn Hai 95 4 5 19 17.5 tỷ Tân Sơn Nhất Tân Bình 15-25 tỷ HĐ Phan Xuân
84. ID: 4816 | So nha: 91 | Ma KN:  | SysID: SYS-20260627-450 | Title:  | ND: 91 Phạm Văn Hai 66.3 1 7.5 9 5.35 tỷ Tân Sơn Hòa Tân Bình 5-10 tỷ HĐ Đặng Thị Tr
